;0
0;QVQP3.SA
1;AESO3.SA
2;GRAO3.SA
3;APTI3.SA
4;APTI4.SA
5;FRRN3B.SA
6;FRRN5B.SA
7;FRRN6B.SA
8;BPAR3.SA
9;BBML3.SA
10;BETP3.SA
11;BRQB3.SA
12;CABI3.SA
13;CGEE3.SA
14;CGEE4.SA
15;CMSA3.SA
16;CMSA4.SA
17;CEEB6.SA
18;COMR3.SA
19;PASS3.SA
20;PASS6.SA
21;CRTE3.SA
22;CRTE5.SA
23;CTCA3.SA
24;DTCY4.SA
25;ENBR3.SA
26;EQMA5B.SA
27;EQMA6B.SA
28;EUFA3.SA
29;OPGM3.SA
30;GOLL3.SA
31;HBTS3.SA
32;HBTS6.SA
33;HMOB3.SA
34;IGSN3.SA
35;CATA3.SA
36;CATA4.SA
37;INNT3.SA
38;IVPR3B.SA
39;IVPR4B.SA
40;KLAS3.SA
41;LLBI3.SA
42;LMED3.SA
43;LTEL3B.SA
44;LTLA3B.SA
45;MSRO3.SA
46;MNZC3.SA
47;NRTQ3.SA
48;ODER3.SA
49;PTCA3.SA
50;PTCA11.SA
51;PRPT3.SA
52;QUSW3.SA
53;RBNS11.SA
54;SAEN3.SA
55;OPSE3.SA
56;OPTS3.SA
57;NEMO5.SA
58;NEMO6.SA
59;TEGA3.SA
60;UPKP3.SA
61;YBRA3.SA
