SEGMENTO;LISTAGEM;;
Exploração, Refino e Distribuição;RRRP;;
Exploração, Refino e Distribuição;CSAN;;
Exploração, Refino e Distribuição;ENAT;;
Exploração, Refino e Distribuição;RPMG;;
Exploração, Refino e Distribuição;PETR;;
Exploração, Refino e Distribuição;RECV;;
Exploração, Refino e Distribuição;PRIO;;
Exploração, Refino e Distribuição;UGPA;;
Exploração, Refino e Distribuição;VBBR;;
Equipamentos e Serviços;LUPA;;
Equipamentos e Serviços;OPCT;;
Equipamentos e Serviços;OSXB;;
Minerais Metálicos;AURA;;
Minerais Metálicos;BRAP;;
Minerais Metálicos;CBAV;;
Minerais Metálicos;CMIN;;
Minerais Metálicos;LTEL;;
Minerais Metálicos;LTLA;;
Minerais Metálicos;VALE;;
Siderurgia;FESA;;
Siderurgia;GGBR;;
Siderurgia;GOAU;;
Siderurgia;CSNA;;
Siderurgia;USIM;;
Artefatos de Ferro e Aço;MGEL;;
Artefatos de Ferro e Aço;PATI;;
Artefatos de Ferro e Aço;TKNO;;
Artefatos de Cobre;PMAM;;
Petroquímicos;BRKM;;
Petroquímicos;DEXP;;
Fertilizantes e Defensivos;FHER;;
Fertilizantes e Defensivos;NUTR;;
Fertilizantes e Defensivos;VITT;;
Químicos Diversos;CRPG;;
Químicos Diversos;UNIP;;
Madeira;DXCO;;
Madeira;EUCA;;
Papel e Celulose;KLBN;;
Papel e Celulose;MSPA;;
Papel e Celulose;NEMO;;
Papel e Celulose;SUZB;;
Embalagens;RANI;;
Materiais Diversos;SNSY;;
Produtos para Construção;ETER;;
Produtos para Construção;HAGA;;
Produtos para Construção;PTBL;;
Construção Pesada;AZEV;;
Engenharia Consultiva;SOND;;
Engenharia Consultiva;TCNO;;
Material Aeronáutico e de Defesa;EMBR;;
Material Rodoviário;FRAS;;
Material Rodoviário;POMO;;
Material Rodoviário;RAPT;;
Material Rodoviário;RCSL;;
Material Rodoviário;RSUL;;
Material Rodoviário;TUPY;;
Material Rodoviário;MWET;;
Motores, Compressores e Outros;SHUL;;
Motores, Compressores e Outros;WEGE;;
Máq. e Equip. Industriais;EALT;;
Máq. e Equip. Industriais;AERI;;
Máq. e Equip. Industriais;ARML;;
Máq. e Equip. Industriais;BDLL;;
Máq. e Equip. Industriais;INEP;;
Máq. e Equip. Industriais;KEPL;;
Máq. e Equip. Industriais;FRIO;;
Máq. e Equip. Industriais;MILS;;
Máq. e Equip. Industriais;NORD;;
Máq. e Equip. Industriais;PTCA;;
Máq. e Equip. Industriais;ROMI;;
Máq. e Equip. Construção e Agrícolas;MTSA;;
Armas e Munições;TASA;;
Linhas Aéreas de Passageiros;AZUL;;
Linhas Aéreas de Passageiros;GOLL;;
Transporte Ferroviário;FRRN;;
Transporte Ferroviário;GASC;;
Transporte Ferroviário;VSPT;;
Transporte Ferroviário;MRSA;;
Transporte Ferroviário;RAIL;;
Transporte Hidroviário;HBSA;;
Transporte Hidroviário;LOGN;;
Transporte Hidroviário;LUXM;;
Transporte Rodoviário;JSLG;;
Transporte Rodoviário;TGMA;;
Exploração de Rodovias;ANHB;;
Exploração de Rodovias;CCRO;;
Exploração de Rodovias;RPTA;;
Exploração de Rodovias;CRTE;;
Exploração de Rodovias;ASCP;;
Exploração de Rodovias;ECOR;;
Exploração de Rodovias;ECOV;;
Exploração de Rodovias;COLN;;
Exploração de Rodovias;RDVT;;
Exploração de Rodovias;CRBD;;
Exploração de Rodovias;TRIA;;
Exploração de Rodovias;TPIS;;
Exploração de Rodovias;VOES;;
Serviços de Apoio e Armazenagem;AGRU;;
Serviços de Apoio e Armazenagem;HMOB;;
Serviços de Apoio e Armazenagem;IVPR;;
Serviços de Apoio e Armazenagem;PSVM;;
Serviços de Apoio e Armazenagem;SAIP;;
Serviços de Apoio e Armazenagem;STBP;;
Serviços de Apoio e Armazenagem;PORT;;
Serviços Diversos;ATMP;;
Serviços Diversos;BBML;;
Serviços Diversos;DTCY;;
Serviços Diversos;ALPK;;
Serviços Diversos;FLEX;;
Serviços Diversos;GGPS;;
Serviços Diversos;PRNR;;
Serviços Diversos;SEQL;;
Serviços Diversos;VLID;;
Material de Transporte;EPAR;;
