Nome;Classe;Bolsa / Fonte;Tipo de Ativo;"Ativo /
Cancelado";Código;Subsetor Bovespa
3r Petroleum;ON;Bovespa;Ação;ativo;RRRP3;Petróleo, Gás e Biocombustíveis
3tentos;ON;Bovespa;Ação;ativo;TTEN3;Agropecuária
524 Particip;ON;Bovespa;Ação;ativo;QVQP3;Outros
Abc Brasil;PN;Bovespa;Ação;ativo;ABCB4;Intermediários Financeiros
Aco Altona;ON;Bovespa;Ação;ativo;EALT3;Máquinas e Equipamentos
Aco Altona;PN;Bovespa;Ação;ativo;EALT4;Máquinas e Equipamentos
Aeris;ON;Bovespa;Ação;ativo;AERI3;Máquinas e Equipamentos
AES Brasil;ON;Bovespa;Ação;ativo;AESB3;Energia Elétrica
Aesoperacoes;ON;Bovespa;Ação;ativo;AESO3;Energia Elétrica
Afluente T;ON;Bovespa;Ação;ativo;AFLT3;Energia Elétrica
Agribrasil;ON;Bovespa;Ação;ativo;GRAO3;Agropecuária
Agrogalaxy;ON;Bovespa;Ação;ativo;AGXY3;Agropecuária
Alfa Consorc;ON;Bovespa;Ação;ativo;BRGE3;Previdência e Seguros
Alfa Consorc;PNA;Bovespa;Ação;ativo;BRGE5;Previdência e Seguros
Alfa Consorc;PNB;Bovespa;Ação;ativo;BRGE6;Previdência e Seguros
Alfa Consorc;PNC;Bovespa;Ação;ativo;BRGE7;Previdência e Seguros
Alfa Consorc;PND;Bovespa;Ação;ativo;BRGE8;Previdência e Seguros
Alfa Consorc;PNE;Bovespa;Ação;ativo;BRGE11;Previdência e Seguros
Alfa Consorc;PNF;Bovespa;Ação;ativo;BRGE12;Previdência e Seguros
Alfa Financ;ON;Bovespa;Ação;ativo;CRIV3;Intermediários Financeiros
Alfa Financ;PN;Bovespa;Ação;ativo;CRIV4;Intermediários Financeiros
Alfa Holding;ON;Bovespa;Ação;ativo;RPAD3;Intermediários Financeiros
Alfa Holding;PNA;Bovespa;Ação;ativo;RPAD5;Intermediários Financeiros
Alfa Holding;PNB;Bovespa;Ação;ativo;RPAD6;Intermediários Financeiros
Alfa Invest;ON;Bovespa;Ação;ativo;BRIV3;Intermediários Financeiros
Alfa Invest;PN;Bovespa;Ação;ativo;BRIV4;Intermediários Financeiros
Aliperti;ON;Bovespa;Ação;ativo;APTI3;Agropecuária
Aliperti;PN;Bovespa;Ação;ativo;APTI4;Agropecuária
All Norte;ON;Bovespa;Ação;ativo;FRRN3B;Transporte
All Norte;PNA;Bovespa;Ação;ativo;FRRN5B;Transporte
All Norte;PNB;Bovespa;Ação;ativo;FRRN6B;Transporte
Alliar;ON;Bovespa;Ação;ativo;AALR3;Serviços Médico - Hospitalares, Análises e Diagnósticos
Allied;ON;Bovespa;Ação;ativo;ALLD3;Comércio Varejista
Allos;ON;Bovespa;Ação;ativo;ALOS3;Outros
Alpargatas;ON;Bovespa;Ação;ativo;ALPA3;Tecidos, Vestuário e Calçados
Alpargatas;PN;Bovespa;Ação;ativo;ALPA4;Tecidos, Vestuário e Calçados
Alper S.A.;ON;Bovespa;Ação;ativo;APER3;Previdência e Seguros
Alphaville;ON;Bovespa;Ação;ativo;AVLL3;Construção Civil
Alupar;ON;Bovespa;Ação;ativo;ALUP3;Energia Elétrica
Alupar;PN;Bovespa;Ação;ativo;ALUP4;Energia Elétrica
Alupar;UNT N2;Bovespa;Ação;ativo;ALUP11;Energia Elétrica
Amazonia;ON;Bovespa;Ação;ativo;BAZA3;Intermediários Financeiros
Ambev S/A;ON;Bovespa;Ação;ativo;ABEV3;Bebidas
Ambipar;ON;Bovespa;Ação;ativo;AMBP3;Água e Saneamento
Americanas;ON;Bovespa;Ação;ativo;AMER3;Comércio Varejista
Ampla Energ;ON;Bovespa;Ação;ativo;CBEE3;Energia Elétrica
Anima;ON;Bovespa;Ação;ativo;ANIM3;Diversos
Arezzo Co;ON;Bovespa;Ação;ativo;ARZZ3;Comércio Varejista
Armac;ON;Bovespa;Ação;ativo;ARML3;Máquinas e Equipamentos
Assai;ON;Bovespa;Ação;ativo;ASAI3;Comércio e Distribuição
Atmasa;ON;Bovespa;Ação;ativo;ATMP3;Serviços Diversos
Atompar;ON;Bovespa;Ação;ativo;ATOM3;Outros
Aura 360;ON;Bovespa;Ação;ativo;AURA33;Mineração
Auren;ON;Bovespa;Ação;ativo;AURE3;Energia Elétrica
Azevedo;ON;Bovespa;Ação;ativo;AZEV3;Construção e Engenharia
Azevedo;PN;Bovespa;Ação;ativo;AZEV4;Construção e Engenharia
Azul;PN;Bovespa;Ação;ativo;AZUL4;Transporte
B3;ON;Bovespa;Ação;ativo;B3SA3;Serviços Financeiros Diversos
Bahema;ON;Bovespa;Ação;ativo;BAHI3;Diversos
Banco BMG;PN;Bovespa;Ação;ativo;BMGB4;Intermediários Financeiros
Banco Pan;PN;Bovespa;Ação;ativo;BPAN4;Intermediários Financeiros
Banese;ON;Bovespa;Ação;ativo;BGIP3;Intermediários Financeiros
Banese;PN;Bovespa;Ação;ativo;BGIP4;Intermediários Financeiros
Banestes;ON;Bovespa;Ação;ativo;BEES3;Intermediários Financeiros
Banestes;PN;Bovespa;Ação;ativo;BEES4;Intermediários Financeiros
Banpara;ON;Bovespa;Ação;ativo;BPAR3;Intermediários Financeiros
Banrisul;ON;Bovespa;Ação;ativo;BRSR3;Intermediários Financeiros
Banrisul;PNA;Bovespa;Ação;ativo;BRSR5;Intermediários Financeiros
Banrisul;PNB;Bovespa;Ação;ativo;BRSR6;Intermediários Financeiros
Bardella;ON;Bovespa;Ação;ativo;BDLL3;Máquinas e Equipamentos
Bardella;PN;Bovespa;Ação;ativo;BDLL4;Máquinas e Equipamentos
Baumer;ON;Bovespa;Ação;ativo;BALM3;Equipamentos
Baumer;PN;Bovespa;Ação;ativo;BALM4;Equipamentos
Bbmlogistica;ON;Bovespa;Ação;ativo;BBML3;Serviços Diversos
BBSeguridade;ON;Bovespa;Ação;ativo;BBSE3;Previdência e Seguros
Bemobi Tech;ON;Bovespa;Ação;ativo;BMOB3;Programas e Serviços
Betapart;ON;Bovespa;Ação;ativo;BETP3;Outros
Bic Monark;ON;Bovespa;Ação;ativo;BMKS3;Viagens e Lazer
Biomm;ON;Bovespa;Ação;ativo;BIOM3;Medicamentos e Outros Produtos
Blau;ON;Bovespa;Ação;ativo;BLAU3;Comércio e Distribuição
Boa Safra;ON;Bovespa;Ação;ativo;SOJA3;Agropecuária
Bombril;ON;Bovespa;Ação;ativo;BOBR3;Produtos de Cuidado Pessoal e de Limpeza
Bombril;PN;Bovespa;Ação;ativo;BOBR4;Produtos de Cuidado Pessoal e de Limpeza
BR Partners;UNT N2;Bovespa;Ação;ativo;BRBI11;Intermediários Financeiros
BR Propert;ON;Bovespa;Ação;ativo;BRPR3;Exploração de Imóveis
Bradesco;ON;Bovespa;Ação;ativo;BBDC3;Intermediários Financeiros
Bradesco;PN;Bovespa;Ação;ativo;BBDC4;Intermediários Financeiros
Bradespar;ON;Bovespa;Ação;ativo;BRAP3;Mineração
Bradespar;PN;Bovespa;Ação;ativo;BRAP4;Mineração
Brasil;ON;Bovespa;Ação;ativo;BBAS3;Intermediários Financeiros
Brasilagro;ON;Bovespa;Ação;ativo;AGRO3;Agropecuária
Braskem;ON;Bovespa;Ação;ativo;BRKM3;Químicos
Braskem;PNA;Bovespa;Ação;ativo;BRKM5;Químicos
Braskem;PNB;Bovespa;Ação;ativo;BRKM6;Químicos
BRB Banco;ON;Bovespa;Ação;ativo;BSLI3;Intermediários Financeiros
BRB Banco;PN;Bovespa;Ação;ativo;BSLI4;Intermediários Financeiros
BRF SA;ON;Bovespa;Ação;ativo;BRFS3;Alimentos Processados
Brisanet;ON;Bovespa;Ação;ativo;BRIT3;Telecomunicações
Brq;ON;Bovespa;Ação;ativo;BRQB3;Programas e Serviços
Btgp Banco;ON;Bovespa;Ação;ativo;BPAC3;Intermediários Financeiros
Btgp Banco;PNA;Bovespa;Ação;ativo;BPAC5;Intermediários Financeiros
Btgp Banco;UNT;Bovespa;Ação;ativo;BPAC11;Intermediários Financeiros
Cabinda Part;ON;Bovespa;Ação;ativo;CABI3;Outros
Caixa Seguri;ON;Bovespa;Ação;ativo;CXSE3;Previdência e Seguros
Cambuci;ON;Bovespa;Ação;ativo;CAMB3;Tecidos, Vestuário e Calçados
Camil;ON;Bovespa;Ação;ativo;CAML3;Alimentos Processados
Carrefour BR;ON;Bovespa;Ação;ativo;CRFB3;Comércio e Distribuição
Casan;ON;Bovespa;Ação;ativo;CASN3;Água e Saneamento
Casan;PN;Bovespa;Ação;ativo;CASN4;Água e Saneamento
Casas Bahia;ON;Bovespa;Ação;ativo;BHIA3;Comércio
Cba;ON;Bovespa;Ação;ativo;CBAV3;Mineração
CCR SA;ON;Bovespa;Ação;ativo;CCRO3;Transporte
Cea Modas;ON;Bovespa;Ação;ativo;CEAB3;Comércio Varejista
Ceb;ON;Bovespa;Ação;ativo;CEBR3;Energia Elétrica
Ceb;PNA;Bovespa;Ação;ativo;CEBR5;Energia Elétrica
Ceb;PNB;Bovespa;Ação;ativo;CEBR6;Energia Elétrica
Cedro;ON;Bovespa;Ação;ativo;CEDO3;Tecidos, Vestuário e Calçados
Cedro;PN;Bovespa;Ação;ativo;CEDO4;Tecidos, Vestuário e Calçados
Ceee-D;ON;Bovespa;Ação;ativo;CEED3;Energia Elétrica
Ceee-D;PN;Bovespa;Ação;ativo;CEED4;Energia Elétrica
Ceee-G;ON;Bovespa;Ação;ativo;CGEE3;Energia Elétrica
