;Código
0;MGLU3
1;PETR4
2;HAPV3
3;AMER3
4;CMIG4
5;BBDC4
6;CPLE6
7;LREN3
8;CVCB3
9;B3SA3
10;ITUB4
11;ITSA4
12;ABEV3
13;VALE3
14;SOMA3
15;CIEL3
16;RAIZ4
17;CMIN3
18;GOAU4
19;COGN3
20;GOLL4
21;PETR3
22;RAIL3
23;AZUL4
24;GGBR4
25;LWSA3
26;PETZ3
27;TIMS3
28;ENEV3
29;VAMO3
30;AURE3
31;BEEF3
32;GMAT3
33;MRFG3
34;POMO4
35;CRFB3
36;BRFS3
37;QUAL3
38;JBSS3
39;ASAI3
40;USIM5
41;EQTL3
42;IFCM3
43;MRVE3
44;NTCO3
45;PCAR3
46;BBDC3
47;ANIM3
48;CSNA3
49;PRIO3
50;HBSA3
51;ELET3
52;SEQL3
53;BBAS3
54;SLCE3
55;RDOR3
56;GFSA3
57;CYRE3
58;CBAV3
59;RENT3
60;UGPA3
61;CSAN3
62;SIMH3
63;RRRP3
64;DXCO3
65;CCRO3
66;TOTS3
67;CEAB3
68;LJQQ3
69;SBFG3
70;RADL3
71;VBBR3
72;CPLE3
73;ALPA4
74;OIBR3
75;STBP3
76;BBSE3
77;AERI3
78;TRPL4
79;WEGE3
80;MULT3
81;SUZB3
82;SBSP3
83;MLAS3
84;MOVI3
85;RCSL4
86;IRBR3
87;GUAR3
88;POSI3
89;BRAP4
90;TEND3
91;ENAT3
92;CXSE3
93;AZEV4
94;ECOR3
95;EMBR3
96;SAPR4
97;YDUQ3
98;SMFT3
99;HYPE3
100;VIVT3
101;EZTC3
102;BRKM5
103;BRSR6
104;JHSF3
105;ESPA3
106;ZAMP3
107;ARZZ3
108;AESB3
109;RECV3
110;VIVA3
111;FLRY3
112;KLBN4
113;MDIA3
114;MEAL3
115;MBLY3
116;CSMG3
117;NEOE3
118;GGPS3
119;ONCO3
120;MEGA3
121;PSSA3
122;BPAN4
123;EGIE3
124;TTEN3
125;CURY3
126;KEPL3
127;ODPV3
128;SMTO3
129;CASH3
130;MTRE3
131;HBOR3
132;INTB3
133;GRND3
134;RANI3
135;CAML3
136;DIRR3
137;CLSA3
138;LIGT3
139;CPFE3
140;JALL3
141;AZEV3
142;RAPT4
143;AMBP3
144;TRIS3
145;PLPL3
146;ELET6
147;BMGB4
148;MYPK3
149;PGMN3
150;FIQE3
151;PTBL3
152;ABCB4
153;CMIG3
154;OPCT3
155;AMAR3
156;JFEN3
157;EVEN3
158;SEER3
159;DASA3
160;LEVE3
161;ITUB3
162;KRSA3
163;ORVR3
164;BRIT3
165;MILS3
166;JSLG3
167;VULC3
168;TUPY3
169;BLAU3
170;LAVV3
171;LUPA3
172;VVEO3
173;SGPS3
174;AGRO3
175;VLID3
176;NGRD3
177;CSED3
178;SHUL4
179;RCSL3
180;SYNE3
181;TRAD3
182;FRAS3
183;MATD3
184;KLBN3
185;LOGG3
186;RNEW4
187;WIZC3
188;HBRE3
189;ARML3
190;TASA4
191;PFRM3
192;NINJ3
193;UNIP6
194;VIVR3
195;MDNE3
196;PINE4
197;ROMI3
198;SAPR3
199;PNVL3
200;TAEE4
201;PRNR3
202;TFCO4
203;ENJU3
204;BMOB3
205;SOJA3
206;FESA4
207;ITSA3
208;SHOW3
209;DESK3
210;UCAS3
211;TAEE3
212;ALPK3
213;TECN3
214;TGMA3
215;LPSB3
216;GOAU3
217;PDTC3
218;IGTI3
219;IGTI3
220;DMVF3
221;DEXP3
222;SANB4
223;VITT3
224;USIM3
225;ETER3
226;BRKM3
227;LAND3
228;PORT3
229;TCSA3
230;ELMD3
231;MELK3
232;GGBR3
233;CTNM4
234;WEST3
235;AGXY3
236;TPIS3
237;PDGR3
238;DOTZ3
239;INEP4
240;APER3
241;SANB3
242;RSID3
243;POMO3
244;CSUD3
245;OIBR4
246;BRAP3
247;CTSA4
248;LOGN3
249;EUCA4
250;EQPA3
251;CAMB3
252;AALR3
253;INEP3
254;BMEB4
255;BRSR3
256;BOBR4
257;PMAM3
258;COCE5
259;RNEW3
260;DOHL4
261;TASA3
262;WHRL4
263;ALUP4
264;CEBR6
265;PTNT4
266;ATOM3
267;CGRA4
268;OSXB3
269;BEES3
270;ALLD3
271;MTSA4
272;RDNI3
273;HAGA4
274;VSTE3
275;LVTC3
276;RAPT3
277;ALUP3
278;SNSY5
279;ALPA3
280;FRTA3
281;WHRL3
282;CLSC4
283;ENGI4
284;UNIP3
285;FHER3
286;BPAC5
287;ATMP3
288;CEBR3
289;RPMG3
290;BAZA3
291;TEKA4
292;BAHI3
293;NEXP3
294;BSLI4
295;CRPG5
296;EALT4
297;EPAR3
298;BIOM3
