SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Exploração, Refino e Distribuição;;;
Exploração, Refino e Distribuição;RRRP;;
Exploração, Refino e Distribuição;CSAN;;
Exploração, Refino e Distribuição;ENAT;;
Exploração, Refino e Distribuição;RPMG;;
Exploração, Refino e Distribuição;PETR;;
Exploração, Refino e Distribuição;RECV;;
Exploração, Refino e Distribuição;PRIO;;
Exploração, Refino e Distribuição;RAIZ;;
Exploração, Refino e Distribuição;UGPA;;
Exploração, Refino e Distribuição;VBBR;;
Equipamentos e Serviços;;;
Equipamentos e Serviços;LUPA;;
Equipamentos e Serviços;OPCT;;
Equipamentos e Serviços;OSXB;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Minerais Metálicos;;;
Minerais Metálicos;AURA;;
Minerais Metálicos;BRAP;;
Minerais Metálicos;CBAV;;
Minerais Metálicos;CMIN;;
Minerais Metálicos;LTEL;;
Minerais Metálicos;LTLA;;
Minerais Metálicos;VALE;;
Siderurgia;;;
Siderurgia;FESA;;
Siderurgia;GGBR;;
Siderurgia;GOAU;;
Siderurgia;CSNA;;
Siderurgia;USIM;;
Artefatos de Ferro e Aço;;;
Artefatos de Ferro e Aço;MGEL;;
Artefatos de Ferro e Aço;PATI;;
Artefatos de Ferro e Aço;TKNO;;
Artefatos de Cobre;;;
Artefatos de Cobre;PMAM;;
Petroquímicos;;;
Petroquímicos;BRKM;;
Petroquímicos;DEXP;;
Fertilizantes e Defensivos;;;
Fertilizantes e Defensivos;FHER;;
Fertilizantes e Defensivos;NUTR;;
Fertilizantes e Defensivos;VITT;;
Químicos Diversos;;;
Químicos Diversos;CRPG;;
Químicos Diversos;UNIP;;
Madeira;;;
Madeira;DXCO;;
Madeira;EUCA;;
Papel e Celulose;;;
Papel e Celulose;KLBN;;
Papel e Celulose;MSPA;;
Papel e Celulose;NEMO;;
Papel e Celulose;SUZB;;
Embalagens;;;
Embalagens;RANI;;
Materiais Diversos;;;
Materiais Diversos;SNSY;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Produtos para Construção;;;
Produtos para Construção;ETER;;
Produtos para Construção;HAGA;;
Produtos para Construção;PTBL;;
Construção Pesada;;;
Construção Pesada;AZEV;;
Engenharia Consultiva;;;
Engenharia Consultiva;SOND;;
Material Aeronáutico e de Defesa;;;
Material Aeronáutico e de Defesa;EMBR;;
Material Rodoviário;;;
Material Rodoviário;FRAS;;
Material Rodoviário;POMO;;
Material Rodoviário;RAPT;;
Material Rodoviário;RCSL;;
Material Rodoviário;RSUL;;
Material Rodoviário;TUPY;;
Material Rodoviário;MWET;;
Motores, Compressores e Outros;;;
Motores, Compressores e Outros;SHUL;;
Motores, Compressores e Outros;WEGE;;
Máq. e Equip. Industriais;;;
Máq. e Equip. Industriais;EALT;;
Máq. e Equip. Industriais;AERI;;
Máq. e Equip. Industriais;ARML;;
Máq. e Equip. Industriais;BDLL;;
Máq. e Equip. Industriais;INEP;;
Máq. e Equip. Industriais;KEPL;;
Máq. e Equip. Industriais;FRIO;;
Máq. e Equip. Industriais;MILS;;
Máq. e Equip. Industriais;NORD;;
Máq. e Equip. Industriais;PTCA;;
Máq. e Equip. Industriais;ROMI;;
Máq. e Equip. Construção e Agrícolas;;;
Máq. e Equip. Construção e Agrícolas;MTSA;;
Armas e Munições;;;
Armas e Munições;TASA;;
Linhas Aéreas de Passageiros;;;
Linhas Aéreas de Passageiros;AZUL;;
Linhas Aéreas de Passageiros;GOLL;;
Transporte Ferroviário;;;
Transporte Ferroviário;FRRN;;
Transporte Ferroviário;GASC;;
Transporte Ferroviário;VSPT;;
Transporte Ferroviário;MRSA;;
Transporte Ferroviário;RAIL;;
Transporte Hidroviário;;;
Transporte Hidroviário;HBSA;;
Transporte Hidroviário;LOGN;;
Transporte Hidroviário;LUXM;;
Transporte Rodoviário;;;
Transporte Rodoviário;JSLG;;
Transporte Rodoviário;TGMA;;
Exploração de Rodovias;;;
Exploração de Rodovias;ANHB;;
Exploração de Rodovias;CCRO;;
Exploração de Rodovias;RPTA;;
Exploração de Rodovias;CRTE;;
Exploração de Rodovias;ASCP;;
Exploração de Rodovias;ECOR;;
Exploração de Rodovias;ECOV;;
Exploração de Rodovias;COLN;;
Exploração de Rodovias;RDVT;;
Exploração de Rodovias;CRBD;;
Exploração de Rodovias;TPIS;;
Exploração de Rodovias;VOES;;
Serviços de Apoio e Armazenagem;;;
Serviços de Apoio e Armazenagem;AGRU;;
Serviços de Apoio e Armazenagem;HMOB;;
Serviços de Apoio e Armazenagem;IVPR;;
Serviços de Apoio e Armazenagem;PSVM;;
Serviços de Apoio e Armazenagem;SAIP;;
Serviços de Apoio e Armazenagem;STBP;;
Serviços de Apoio e Armazenagem;PORT;;
Serviços Diversos;;;
Serviços Diversos;ATMP;;
Serviços Diversos;BBML;;
Serviços Diversos;DTCY;;
Serviços Diversos;ALPK;;
Serviços Diversos;GGPS;;
Serviços Diversos;PRNR;;
Serviços Diversos;SEQL;;
Serviços Diversos;VLID;;
Material de Transporte;;;
Material de Transporte;EPAR;;
Material de Transporte;MMAQ;;
Material de Transporte;RBNS;;
Material de Transporte;WLMM;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Agricultura;;;
Agricultura;TTEN;;
Agricultura;GRAO;;
Agricultura;AGXY;;
Agricultura;APTI;;
Agricultura;SOJA;;
Agricultura;AGRO;;
Agricultura;CTCA;;
Agricultura;FRTA;;
Agricultura;SLCE;;
Agricultura;LAND;;
Açucar e Alcool;;;
Açucar e Alcool;JALL;;
Açucar e Alcool;RESA;;
Açucar e Alcool;SMTO;;
Carnes e Derivados;;;
Carnes e Derivados;BRFS;;
Carnes e Derivados;BAUH;;
Carnes e Derivados;JBSS;;
Carnes e Derivados;MRFG;;
Carnes e Derivados;BEEF;;
Carnes e Derivados;MNPR;;
Alimentos Diversos;;;
Alimentos Diversos;CAML;;
Alimentos Diversos;JOPA;;
Alimentos Diversos;MDIA;;
Alimentos Diversos;ODER;;
Cervejas e Refrigerantes;;;
Cervejas e Refrigerantes;ABEV;;
Produtos de Cuidado Pessoal;;;
Produtos de Cuidado Pessoal;NTCO;;
Produtos de Limpeza;;;
Produtos de Limpeza;BOBR;;
Alimentos;;;
Alimentos;ASAI;;
Alimentos;CRFB;;
Alimentos;GMAT;;
Alimentos;PCAR;;
;;;
SEGMENTO;LISTAGEM;;
;CÓDIGO;;
Incorporações;;;
Incorporações;AVLL;;
Incorporações;CALI;;
Incorporações;CURY;;
Incorporações;CYRE;;
Incorporações;DIRR;;
Incorporações;EVEN;;
Incorporações;EZTC;;
Incorporações;FIEI;;
Incorporações;GFSA;;
Incorporações;HBOR;;
Incorporações;INNT;;
Incorporações;JHSF;;
Incorporações;JFEN;;
Incorporações;KLAS;;
Incorporações;LAVV;;
Incorporações;MELK;;
Incorporações;MTRE;;
Incorporações;MDNE;;
Incorporações;MRVE;;
Incorporações;PDGR;;
Incorporações;PLPL;;
Incorporações;RDNI;;
Incorporações;RSID;;
Incorporações;TCSA;;
Incorporações;TEGA;;
Incorporações;TEND;;
Incorporações;TRIS;;
Incorporações;VIVR;;
Fios e Tecidos;;;
